                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.096153,               0.071049,               0.031493,               0.099203,              0.0068753,                0.46923,               0.029452,               0.015652,              0.0069538,                0.46523,               0.029616,                 0.0207,               0.070356,               0.042093,               0.027622,               0.095122,               0.070042,              0.0033286,              0.0033286
                      1,               0.069006,                0.04347,               0.030301,               0.086859,              0.0075285,                0.50058,               0.056079,               0.023859,              0.0075448,                0.49751,               0.056701,               0.046022,               0.064454,               0.037794,               0.026183,               0.089458,               0.039976,               0.006596,               0.006596
                      2,                0.06662,               0.042797,               0.027638,               0.082887,               0.010819,                0.29119,               0.027769,               0.012969,               0.011415,                 0.2971,               0.027902,               0.017624,               0.065083,               0.038481,               0.026302,               0.087323,              0.0098445,              0.0097974,              0.0097974
                      3,               0.061635,               0.040753,               0.027157,               0.081458,               0.077321,                0.21646,               0.033685,               0.017355,               0.077459,                0.21992,               0.034026,               0.025653,               0.056365,               0.039048,               0.027767,               0.086117,               0.009703,               0.009703,               0.009703
                      4,               0.057304,                0.04105,               0.027464,               0.079298,                0.73704,               0.031761,               0.038672,               0.021362,                 0.7373,               0.028472,               0.038733,               0.025501,                0.05487,               0.040944,               0.027927,               0.084647,               0.009703,               0.009703,               0.009703
                      5,               0.056479,               0.040474,               0.026282,               0.077752,                0.66059,               0.035957,               0.047442,               0.027519,                0.69278,               0.037772,               0.049514,               0.033973,               0.051944,               0.039697,               0.027173,               0.083869,               0.009604,               0.009604,               0.009604
                      6,               0.054333,               0.040943,               0.028561,               0.077308,               0.013865,                0.33859,               0.047839,               0.028679,                0.40163,                0.15064,               0.048326,               0.031959,               0.054204,               0.041117,               0.027214,               0.083424,               0.009505,               0.009505,               0.009505
                      7,               0.052544,               0.039349,               0.026725,               0.077021,                0.69621,               0.059726,               0.039919,               0.019054,                0.69861,               0.058771,               0.039561,                0.02225,               0.055767,               0.036105,               0.027176,               0.083034,               0.009406,               0.009406,               0.009406
                      8,               0.051907,               0.039287,                0.02701,               0.076655,                0.45734,               0.097996,               0.044767,               0.027906,                0.45752,                0.10008,                0.04414,               0.030781,               0.050032,               0.037502,               0.026818,               0.082667,               0.009307,               0.009307,               0.009307
                      9,               0.049916,               0.038655,               0.027668,               0.075854,                  0.556,               0.066156,               0.050138,               0.029967,                 0.5575,                0.07339,               0.052182,               0.032837,               0.048469,               0.035595,               0.027307,               0.081832,               0.009208,               0.009208,               0.009208
                     10,                0.04999,               0.037756,                0.02677,               0.076409,                0.66739,               0.047007,               0.062868,               0.043286,                0.66492,               0.046545,                0.06191,               0.039803,               0.046898,               0.036751,               0.027862,               0.081682,               0.009109,               0.009109,               0.009109
                     11,               0.048791,                0.03831,                 0.0272,               0.075502,                0.62021,               0.070429,               0.063363,               0.035352,                0.62044,               0.072074,               0.062903,               0.037422,               0.050548,               0.037491,               0.028705,                0.08135,                0.00901,                0.00901,                0.00901
                     12,               0.047664,               0.036154,               0.026633,               0.074579,                0.37591,                0.16411,               0.066508,               0.039894,                0.64781,               0.082117,               0.069582,               0.049527,               0.047817,               0.036434,               0.027743,               0.080973,               0.008911,               0.008911,               0.008911
                     13,                0.04688,               0.035246,               0.026717,               0.073098,                0.56088,                0.10121,               0.069883,               0.045403,                0.55917,                0.10054,               0.069008,               0.046575,               0.047273,               0.036847,               0.026522,               0.080397,               0.008812,               0.008812,               0.008812
                     14,               0.045541,               0.036135,               0.025697,               0.074479,                0.61156,               0.086559,               0.067481,               0.042635,                0.60522,               0.082996,               0.058711,               0.042072,               0.048589,               0.037476,                0.02752,               0.079553,               0.008713,               0.008713,               0.008713
                     15,               0.045378,               0.035491,               0.025495,               0.073134,                0.65264,               0.077572,               0.063296,               0.039177,                  0.684,               0.076395,               0.063559,               0.041661,               0.045838,               0.035221,               0.028175,               0.079172,               0.008614,               0.008614,               0.008614
                     16,                0.04555,               0.035723,               0.026066,                 0.0725,                0.56632,               0.068284,               0.070427,               0.046076,                0.56632,               0.068284,               0.069592,                0.04816,               0.047377,               0.036104,               0.028488,               0.079047,               0.008515,               0.008515,               0.008515
                     17,               0.045625,               0.035145,               0.026525,               0.072458,                0.53548,               0.083851,               0.068801,               0.040547,                0.53736,               0.088022,               0.069816,               0.048661,               0.047069,               0.036516,               0.027578,               0.078654,               0.008416,               0.008416,               0.008416
                     18,               0.045118,               0.034601,               0.025725,               0.072079,                 0.5029,               0.085153,               0.073519,               0.047584,                0.50179,               0.085506,               0.073127,                0.04905,               0.044773,               0.034893,               0.027046,               0.078575,               0.008317,               0.008317,               0.008317
                     19,               0.043938,                0.03442,               0.025711,               0.071447,                0.60374,               0.092666,               0.070447,               0.045924,                0.60589,               0.092575,               0.070384,               0.047403,               0.045552,               0.033886,               0.027958,                0.07747,               0.008218,               0.008218,               0.008218
                     20,               0.043421,               0.034385,               0.024687,               0.070769,                0.55869,               0.088312,               0.067364,               0.044155,                0.52248,               0.090152,               0.068981,               0.045449,               0.045517,                0.03699,               0.028036,               0.078179,               0.008119,               0.008119,               0.008119
                     21,               0.043352,               0.034149,                0.02515,               0.070785,                0.55716,               0.096386,                0.06247,               0.036443,                0.58868,               0.089982,                0.06277,               0.040216,               0.047772,               0.036862,               0.027437,               0.077827,                0.00802,                0.00802,                0.00802
                     22,               0.042579,               0.033597,               0.025662,               0.069576,                0.52279,                0.11497,               0.067029,               0.045443,                0.52236,                0.11595,               0.066204,                0.04426,               0.045181,               0.035295,               0.027331,               0.078265,               0.007921,               0.007921,               0.007921
                     23,               0.043151,               0.034959,               0.025125,               0.069853,                0.49397,                0.10981,                0.06714,               0.042092,                0.48444,                0.10682,               0.065079,               0.045718,               0.044916,               0.035765,               0.027672,               0.077231,               0.007822,               0.007822,               0.007822
